"","Currency","CurrentPrice","ConvtertedPrice","Compare","LowestRecordedPrice"
"1","
 U.S. Dollar
","$29.99","$29.99","0","$19.99"
"2","
 British Pound
","£26.99","$33.96","+13.26%","$22.75"
"3","
 Euro
","29,99€","$33.90","+13.05%","$22.59"
"4","
 Russian Ruble
","₽899","$13.48","-55.04%","$9.03"
"5","
 Brazilian Real
","R$ 55,99","$14.29","-52.34%","$9.57"
"6","
 Japanese Yen
","¥ 3300","$29.09","-2.97%","$19.49"
"7","
 Indonesian Rupiah
","Rp 219999","$15.08","-49.69%","$9.19"
"8","
 Malaysian Ringgit
","RM74.99","$17.91","-40.25%","$12.00"
"9","
 Philippine Peso
","₱759.95","$14.31","-52.27%","$9.59"
"10","
 Singapore Dollar
","S$34.99","$25.41","-15.26%","$17.02"
"11","
 Thai Baht
","฿559.00","$17.02","-43.22%","$11.40"
"12","
 Vietnamese Dong
","340000₫","$14.62","-51.23%","$9.80"
"13","
 South Korean Won
","₩ 32000","$28.25","-5.80%","$18.53"
"14","
 Turkish Lira
","₺87,00","$16.19","-46.01%","$8.60"
"15","
 Ukrainian Hryvnia
","474₴","$17.02","-43.25%","$11.38"
"16","
 Mexican Peso
","Mex$ 399.00","$19.79","-33.99%","$13.26"
"17","
 Canadian Dollar
","CDN$ 36.99","$27.63","-7.87%","$18.51"
"18","
 Australian Dollar
","A$ 42.95","$30.81","+2.76%","$30.81"
"19","
 New Zealand Dollar
","NZ$ 39.99","$27.15","-9.44%","$18.19"
"20","
 Norwegian Krone
","259,00 kr","$30.04","+0.19%","$20.13"
"21","
 Polish Zloty
","72,99zł","$19.22","-35.89%","$12.88"
"22","
 Swiss Franc
","CHF 31.99","$32.06","+6.91%","$21.47"
"23","
 Chinese Yuan Renminbi
","¥ 98","$14.18","-52.69%","$9.69"
"24","
 Indian Rupee
","₹ 999","$13.89","-53.68%","$9.30"
"25","
 Chilean Peso
","CLP$ 14500","$21.18","-29.38%","$14.19"
"26","
 Peruvian Nuevo Sol
","S/.73.95","$22.07","-26.41%","$14.78"
"27","
 Colombian Peso
","COL$ 60000","$18.90","-36.97%","$12.66"
"28","
 South African Rand
","R 319.00","$22.16","-26.08%","$14.85"
"29","
 Hong Kong Dollar
","HK$ 188.00","$24.06","-19.77%","$16.12"
"30","
 Taiwan Dollar
","NT$ 799","$25.90","-13.61%","$17.34"
"31","
 Saudi Riyal
","120.00 SR","$31.99","+6.67%","$21.43"
"32","
 U.A.E. Dirham
","120.00 AED","$32.67","+8.94%","$21.88"
"33","
 Argentine Peso
","ARS$ 551,99","$14.46","-51.76%","$6.18"
"34","
 Israeli New Shekel
","₪88.25","$23.39","-22.00%","$15.67"
"35","
 Kazakhstani Tenge
","5900₸","$15.90","-46.95%","$10.65"
"36","
 Kuwaiti Dinar
","9.05 KD","$29.73","-0.85%","$19.91"
"37","
 Qatari Riyal
","111.35 QR","$30.17","+0.61%","$20.21"
"38","
 Costa Rican Colon
","₡12400","$20.77","-30.71%","$13.92"
"39","
 Uruguayan Peso
","$U619","$19.19","-36.00%","$12.86"
"40","
 CIS - U.S. Dollar
","$17.99","$17.99","-40.01%","$12.05"
"41","
 South Asia - U.S. Dollar
","$29.99","$29.99","0","$10.49"
